date,province,region,ratio_tourist_stay,no_tourist_stay,no_tourist_all,no_tourist_thai,no_tourist_foreign,revenue_all,revenue_thai,revenue_foreign
2019-01-01,Bangkok,central,0.9337000000000001,3334971,5959075,3534061,2425014,81926490000,29742580000,52183910000
2019-01-01,Lopburi ,central,0.6132,51858,268664,266301,2363,457240000,451830000,5410000
2019-01-01,Phra Nakhon Si Ayutthaya ,central,0.7337,117052,730329,561553,168776,1438730000,1054250000,384480000
2019-01-01,Saraburi ,central,0.6733,89850,207236,201400,5836,347790000,336190000,11600000
2019-01-01,Chainat ,central,0.7931,27141,79073,78514,559,101790000,100900000,890000
2019-01-01,Nakhon Pathom ,central,0.7170000000000001,118629,296107,284408,11699,407980000,391120000,16860000
2019-01-01,Sing Buri ,central,0.6465000000000001,18147,49438,49190,248,69610000,69220000,390000
2019-01-01,Ang Thong ,central,0.7121,19140,104097,98816,5281,132070000,126320000,5750000
2019-01-01,Nonthaburi ,central,0.7506999999999999,100553,323717,293344,30373,527420000,422330000,105090000
2019-01-01,Pathum Thani ,central,0.6077,56118,233295,172417,60878,307920000,204140000,103780000
2019-01-01,Samut Prakan ,central,0.725,109185,408652,199324,209328,796190000,308330000,487860000
2019-01-01,Samut Sakhon ,central,0.6164000000000001,56561,109253,108832,421,164490000,163760000,730000
2019-01-01,Chachoengsao ,east,0.594,38687,270438,266707,3731,292960000,288180000,4780000
2019-01-01,Ratchaburi ,central,0.7509,93978,236440,231887,4553,450010000,439180000,10830000
2019-01-01,Kanchanaburi ,central,0.838,339491,752901,707690,45211,2695150000,2438190000,256960000
2019-01-01,Samut Songkhram ,central,0.7559999999999999,65407,201751,197952,3799,344930000,337590000,7340000
2019-01-01,Suphan Buri ,central,0.8943000000000001,99531,235981,234233,1748,487610000,484900000,2710000
2019-01-01,Phetchaburi ,central,0.812,357725,713674,643367,70307,2352550000,1776560000,575990000
2019-01-01,Prachuap Khiri Khan ,central,0.6455,391494,639052,511080,127972,3755100000,2516840000,1238260000
2019-01-01,Chonburi ,east,0.8432999999999999,1343262,1570327,632916,937411,27896450000,3967440000,23929010000
2019-01-01,Chanthaburi ,east,0.6886,118776,257105,250149,6956,844480000,795710000,48770000
2019-01-01,Trat ,east,0.8048000000000001,205330,224218,142674,81544,2073220000,900150000,1173070000
2019-01-01,Nakhon Nayok ,east,0.6839,140711,278705,276249,2456,842490000,836200000,6290000
2019-01-01,Prachinburi ,east,0.6857,106063,183846,170721,13125,521290000,479400000,41890000
2019-01-01,Rayong ,east,0.7011,377300,650811,581623,69188,2435410000,1980420000,454990000
2019-01-01,Sa Kaeo ,east,0.5669,69400,199751,165131,34620,581600000,483690000,97910000
2019-01-01,Phuket ,south,0.8604999999999999,1528585,1690776,357769,1333007,55328200000,4770590000,50557610000
2019-01-01,Phatthalung ,south,0.6866,67285,120318,119521,797,181320000,178810000,2510000
2019-01-01,Trang ,south,0.723,131744,173715,149399,24316,1250160000,1029670000,220490000
2019-01-01,Ranong ,south,0.5932999999999999,85886,110844,103790,7054,368380000,322820000,45560000
2019-01-01,Chumphon ,south,0.6194,92831,116543,105960,10583,496860000,447370000,49490000
2019-01-01,Pattani ,south,0.7847,18105,22499,22345,154,79150000,78470000,680000
2019-01-01,Yala ,south,0.5253,49144,52984,9567,43417,236370000,37040000,199330000
2019-01-01,Nakhon Si Thammarat ,south,0.5984,245874,384120,373158,10962,1270860000,1235490000,35370000
